game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100303,1610612738,203935,Marcus Smart,Boston Celtics,60.0,71.43,25.0,3,5,1,2,2,3,5,7,4
g0042100303,1610612748,1629216,Gabe Vincent,Miami Heat,0,0.0,50.0,0,0,1,0,2,1,0,2,2
g0042100303,1610612738,1628464,Daniel Theis,Boston Celtics,50.0,0,0,1,0,0,1,0,0,2,0,0
g0042100303,1610612748,1629622,Max Strus,Miami Heat,0,40.0,57.14,0,2,4,0,3,3,0,5,7
g0042100303,1610612738,201143,Al Horford,Boston Celtics,100.0,44.44,60.0,3,4,3,0,5,2,3,9,5
g0042100303,1610612748,200768,Kyle Lowry,Miami Heat,100.0,50.0,28.57,1,2,2,0,2,5,1,4,7
g0042100303,1610612748,1628997,Caleb Martin,Miami Heat,100.0,100.0,50.0,1,2,1,0,0,1,1,2,2
g0042100303,1610612748,1629639,Tyler Herro,Miami Heat,0,44.44,0.0,0,4,0,0,5,6,0,9,6
g0042100303,1610612748,1629130,Duncan Robinson,Miami Heat,0,100.0,0.0,0,1,0,0,0,1,0,1,1
g0042100303,1610612748,200782,P.J. Tucker,Miami Heat,100.0,50.0,50.0,4,2,3,0,2,3,4,4,6
g0042100303,1610612738,1628369,Jayson Tatum,Boston Celtics,75.0,28.57,14.29,3,2,1,1,5,6,4,7,7
g0042100303,1610612748,202710,Jimmy Butler,Miami Heat,100.0,37.5,0,2,3,0,0,5,0,2,8,0
g0042100303,1610612738,1630174,Aaron Nesmith,Boston Celtics,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100303,1610612748,1628389,Bam Adebayo,Miami Heat,100.0,71.43,0.0,1,15,0,0,6,1,1,21,1
g0042100303,1610612738,1627759,Jaylen Brown,Boston Celtics,75.0,100.0,33.33,9,11,3,3,0,6,12,11,9
g0042100303,1610612738,1628401,Derrick White,Boston Celtics,0,0.0,0,0,0,0,0,2,0,0,2,0
g0042100303,1610612748,203506,Victor Oladipo,Miami Heat,60.0,33.33,0.0,3,1,0,2,2,1,5,3,1
g0042100303,1610612738,1629684,Grant Williams,Boston Celtics,100.0,0.0,50.0,4,0,2,0,2,2,4,2,4
g0042100303,1610612738,1630202,Payton Pritchard,Boston Celtics,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100304,1610612738,1629057,Robert Williams III,Boston Celtics,100.0,80.0,0,4,4,0,0,1,0,4,5,0
g0042100304,1610612748,1630209,Omer Yurtseven,Miami Heat,0,50.0,0,0,1,0,0,1,0,0,2,0
g0042100304,1610612748,1629312,Haywood Highsmith,Miami Heat,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100304,1610612738,203917,Nik Stauskas,Boston Celtics,100.0,0,0,2,0,0,0,0,0,2,0,0
