game_id,team_id,player_id,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100314,1610612742,203915,100.0,0.0,40.0,4,0,2,0,2,3,4,2,5
g0042100314,1610612744,1630228,75.0,50.0,33.33,6,4,1,2,4,2,8,8,3
g0042100314,1610612744,1627814,0,60.0,0.0,0,3,0,0,2,1,0,5,1
g0042100314,1610612742,1628973,80.0,40.0,50.0,4,4,1,1,6,1,5,10,2
g0042100314,1610612744,203952,100.0,50.0,33.33,2,4,1,0,4,2,2,8,3
g0042100314,1610612742,1627827,50.0,83.33,57.14,1,5,4,1,1,3,2,6,7
g0042100314,1610612742,1628467,100.0,100.0,66.67,1,3,2,0,0,1,1,3,3
g0042100314,1610612744,1626172,33.33,33.33,0,1,1,0,2,2,0,3,3,0
g0042100314,1610612744,202691,0.0,75.0,33.33,0,3,2,1,1,4,1,4,6
g0042100314,1610612744,1630541,0,50.0,66.67,0,2,2,0,2,1,0,4,3
g0042100314,1610612744,201939,80.0,45.45,40.0,4,5,2,1,6,3,5,11,5
g0042100314,1610612742,1628373,0,100.0,100.0,0,1,1,0,0,0,0,1,1
g0042100314,1610612742,202722,0,50.0,25.0,0,1,1,0,1,3,0,2,4
g0042100314,1610612742,1629029,70.0,46.67,27.27,7,7,3,3,8,8,10,15,11
g0042100314,1610612744,203110,40.0,66.67,0.0,2,4,0,3,2,2,5,6,2
g0042100314,1610612742,203493,0,0,60.0,0,0,6,0,0,4,0,0,10
g0042100314,1610612744,1629673,100.0,60.0,40.0,2,3,2,0,2,3,2,5,5
g0042100314,1610612744,202357,0,100.0,0,0,2,0,0,0,0,0,2,0
g0042100315,1610612742,1628425,100.0,0.0,0,2,0,0,0,1,0,2,1,0
g0042100315,1610612742,203915,77.78,40.0,71.43,7,2,5,2,3,2,9,5,7
g0042100315,1610612742,203939,100.0,100.0,0,1,1,0,0,0,0,1,1,0
g0042100315,1610612742,1628973,66.67,37.5,0.0,4,3,0,2,5,2,6,8,2
g0042100315,1610612744,203952,100.0,77.78,0.0,4,7,0,0,2,7,4,9,7
g0042100315,1610612742,1627827,0,83.33,25.0,0,5,1,0,1,3,0,6,4
g0042100315,1610612742,1628467,0,50.0,50.0,0,2,1,0,2,1,0,4,2
g0042100315,1610612744,1626172,0,62.5,0,0,5,0,0,3,0,0,8,0
g0042100315,1610612744,202691,0,44.44,50.0,0,4,8,0,5,8,0,9,16
g0042100315,1610612744,1630541,100.0,50.0,100.0,2,1,1,0,1,0,2,2,1
g0042100315,1610612744,201939,100.0,30.0,28.57,3,3,2,0,7,5,3,10,7
g0042100315,1610612742,1628373,0,0,40.0,0,0,2,0,0,3,0,0,5
g0042100315,1610612742,202722,0,0,50.0,0,0,1,0,0,1,0,0,2
g0042100315,1610612742,1629029,71.43,46.67,23.08,5,7,3,2,8,10,7,15,13
g0042100315,1610612742,203493,0,0,50.0,0,0,2,0,0,2,0,0,4
g0042100315,1610612744,203110,100.0,83.33,100.0,4,5,1,0,1,0,4,6,1
g0042100315,1610612744,1629673,100.0,100.0,33.33,3,5,1,0,0,2,3,5,3
g0042100315,1610612742,203504,0,0,66.67,0,0,2,0,0,1,0,0,3
g0042100315,1610612744,202357,0,33.33,100.0,0,1,1,0,2,0,0,3,1
g0042100401,1610612738,1629057,0,100.0,0,0,4,0,0,0,0,0,4,0
g0042100401,1610612738,203935,0,75.0,57.14,0,3,4,0,1,3,0,4,7
g0042100401,1610612744,1627814,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100401,1610612744,203952,100.0,75.0,28.57,2,6,2,0,2,5,2,8,7
g0042100401,1610612738,1628464,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100401,1610612744,2738,0,66.67,100.0,0,2,1,0,1,0,0,3,1
g0042100401,1610612738,201143,66.67,75.0,75.0,2,3,6,1,1,2,3,4,8
g0042100401,1610612744,1626172,100.0,25.0,0,2,1,0,0,3,0,2,4,0
g0042100401,1610612744,202691,0,42.86,42.86,0,3,3,0,4,4,0,7,7
g0042100401,1610612738,1628369,71.43,16.67,20.0,5,2,1,2,10,4,7,12,5
g0042100401,1610612744,201939,75.0,45.45,50.0,3,5,7,1,6,7,4,11,14
g0042100401,1610612744,203490,0,0,80.0,0,0,4,0,0,1,0,0,5
g0042100401,1610612744,203110,0.0,25.0,0.0,0,2,0,3,6,4,3,8,4
g0042100401,1610612744,1629673,100.0,50.0,20.0,4,1,1,0,1,4,4,2,5
g0042100401,1610612738,1627759,100.0,53.33,25.0,2,8,2,0,7,6,2,15,8
g0042100401,1610612738,1628401,100.0,33.33,62.5,4,1,5,0,2,3,4,3,8
g0042100401,1610612738,1629684,0,0.0,0.0,0,0,0,0,1,1,0,1,1
g0042100401,1610612744,202357,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100401,1610612738,1630202,0,100.0,66.67,0,1,2,0,0,1,0,1,3
g0042100402,1610612738,1629057,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100402,1610612744,1627780,0.0,100.0,100.0,0,2,1,2,0,0,2,2,1
g0042100402,1610612738,203917,0,0,50.0,0,0,1,0,0,1,0,0,2
g0042100402,1610612738,1628436,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100402,1610612738,1630238,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100402,1610612738,203935,0,33.33,0.0,0,1,0,0,2,3,0,3,3
g0042100402,1610612744,1627814,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100402,1610612744,203952,50.0,22.22,66.67,1,2,2,1,7,1,2,9,3
g0042100402,1610612738,1628464,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100402,1610612738,201143,0,25.0,0,0,1,0,0,3,0,0,4,0
g0042100402,1610612744,1626172,0,100.0,0,0,6,0,0,0,0,0,6,0
g0042100402,1610612744,202691,100.0,27.27,12.5,2,3,1,0,8,7,2,11,8
g0042100402,1610612744,1630541,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100402,1610612738,1628369,75.0,20.0,66.67,6,2,6,2,8,3,8,10,9
g0042100402,1610612744,201939,85.71,44.44,41.67,6,4,5,1,5,7,7,9,12
g0042100402,1610612738,1630174,0,100.0,0.0,0,2,0,0,0,2,0,2,2
g0042100402,1610612744,203490,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100402,1610612744,203110,71.43,100.0,0.0,5,2,0,2,0,1,7,2,1
g0042100402,1610612744,1629673,0,20.0,55.56,0,1,5,0,4,4,0,5,9
